timestamp,object,error_type,task,message,source_log
"2026-08-09T08:53:33.000Z","FRMORT004","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P10; ThreatRadius=2;","FRMORT004: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P10; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","FRM109004","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P10; ThreatRadius=2;","FRM109004: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P10; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","FRM901001","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P8; ThreatRadius=2;","FRM901001: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P8; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","ENCAESAR002","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P6; ThreatRadius=2;","ENCAESAR002: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P6; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","ENMORT005","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P10; ThreatRadius=2;","ENMORT005: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P10; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","ENMORT004","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P5; ThreatRadius=2;","ENMORT004: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P5; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","FRMORT002","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P7; ThreatRadius=2;","FRMORT002: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P7; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","FRAHS001","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P9; ThreatRadius=2;","FRAHS001: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P9; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","FRMORT001","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P9; ThreatRadius=2;","FRMORT001: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P9; ThreatRadius=2; ",".\vrfSim.log"
"2026-08-09T08:53:33.000Z","ENCAESAR004","controller_disabled","find_firing_position: DistanceFromThreat=2; Range=100; Threat=P10; ThreatRadius=2;","ENCAESAR004: No controller or Controller is disabled, unable to carry out task find_firing_position: DistanceFromThreat=2; Range=100; Threat=P10; ThreatRadius=2; ",".\vrfSim.log"
