00:00에 **US Army M4(FR-INF-001, 방어 보병 1)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-001)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-002, 방어 보병 2)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-002)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-003, 방어 보병 3)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-003)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-004, 방어 보병 4)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-004)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-005, 방어 보병 5)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-005)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-006, 방어 보병 6)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-006)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-007, 방어 보병 7)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-007)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-008, 방어 보병 8)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-008)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-009, 방어 보병 9)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-009)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-010, 방어 보병 10)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-010)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-011, 방어 보병 11)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-011)**의 초기 상태는 대기 상태이다.
00:00에 **US Army M4(FR-INF-012, 방어 보병 12)**은/는 남측 제1방어선에 위치한다. **US Army M4(FR-INF-012)**의 초기 상태는 대기 상태이다.
