subject,predicate,object,timestamp,latitude,longitude,source,force,tracking_id,uuid,entity_type,damage,smoke,flaming,mobility_kill,firepower_kill,suppression_level
"ENM1A2003","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-","2026-08-09T08:53:44.000Z",21.37399573,-157.74288102,"UAV 1","2","1:3001:5","ENM1A2003","1:1:225:1:1:3:0","0","false","false","false","false","0"
"ENCAESAR002","FFE-On-Location ""Location={-5498358.113175, -2250865.429793, 2312201.552453}""  Name of Weapons to Fire: Indirect-Fire-Gun:M107-155mm. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.37011579,-157.73488768,"UAV 1","2","1:3001:35","ENCAESAR002","1:1:71:4:0:0:0","0","false","false","false","false","0"
"ENT72012","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-","2026-08-09T08:53:44.000Z",21.37175204,-157.74165503,"UAV 1","2","1:3001:36","ENT72012","1:1:222:1:2:1:0","0","false","false","false","false","0"
"ENBTR60001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-","2026-08-09T08:53:44.000Z",21.36932237,-157.74061588,"UAV 1","2","1:3001:43","ENBTR60001","1:1:222:2:8:1:0","0","false","false","false","false","0"
"ENMORT005","FFE-On-Location ""Location={-5499123.141030, -2250320.406046, 2311025.754248}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.37457651,-157.73710572,"UAV 1","2","1:3001:48","ENMORT005","1:1:71:10:1:0:1","0","false","false","false","false","0"
"ENM1A2001","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-","2026-08-09T08:53:44.000Z",21.37408028,-157.74303109,"UAV 1","2","1:3001:49","ENM1A2001","1:1:225:1:1:3:0","0","false","false","false","false","0"
"ENM1A2005","Move to {-5499107.729384, -2250754.164082, 2310538.606898}","-","2026-08-09T08:53:44.000Z",21.37390786,-157.74272979,"UAV 1","2","1:3001:62","ENM1A2005","1:1:225:1:1:3:0","0","false","false","false","false","0"
"FRT69001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.38670584,-157.73573631,"UAV 1","1","1:3001:66","FRT69001","1:1:45:1:2:1:0","0","false","false","false","false","0"
"ENMORT004","FFE-On-Location ""Location={-5498511.672389, -2250935.799735, 2311770.746054}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.37447596,-157.73706256,"UAV 1","2","1:3001:71","ENMORT004","1:1:71:10:1:0:1","0","false","false","false","false","0"
"ENM35004","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-","2026-08-09T08:53:44.000Z",21.37341718,-157.73326644,"UAV 1","2","1:3001:91","ENM35004","1:1:225:7:1:6:0","0","false","false","false","false","0"
