subject,predicate,object,timestamp,latitude,longitude,source,force,tracking_id,uuid,entity_type,damage,smoke,flaming,mobility_kill,firepower_kill,suppression_level
"ENCAESAR002","FFE-On-Location ""Location={-5498358.113175, -2250865.429793, 2312201.552453}""  Name of Weapons to Fire: Indirect-Fire-Gun:M107-155mm. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.37011579,-157.73488768,"UAV 2","2","1:3001:35","ENCAESAR002","1:1:71:4:0:0:0","0","false","false","false","false","0"
"ENMORT005","FFE-On-Location ""Location={-5499123.141030, -2250320.406046, 2311025.754248}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.37457651,-157.73710572,"UAV 2","2","1:3001:48","ENMORT005","1:1:71:10:1:0:1","0","false","false","false","false","0"
"FRT69001","Move to {-5499315.048189, -2250231.003964, 2310734.853397}","-","2026-08-09T08:53:44.000Z",21.38670584,-157.73573631,"UAV 2","1","1:3001:66","FRT69001","1:1:45:1:2:1:0","0","false","false","false","false","0"
"ENMORT004","FFE-On-Location ""Location={-5498511.672389, -2250935.799735, 2311770.746054}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.37447596,-157.73706256,"UAV 2","2","1:3001:71","ENMORT004","1:1:71:10:1:0:1","0","false","false","false","false","0"
"FRMORT002","FFE-On-Location ""Location={-5499132.853573, -2251193.466895, 2310064.199617}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.39112390,-157.73727132,"UAV 2","1","1:3001:83","FRMORT002","1:1:71:10:1:0:1","0","false","false","false","false","0"
"ENGAZ001","Move to {-5499460.953457, -2250814.454542, 2309743.262342}","-","2026-08-09T08:53:44.000Z",21.37310886,-157.73343883,"UAV 2","2","1:3001:95","ENGAZ001","1:1:222:7:8:0:0","0","false","false","false","false","0"
"FRMORT001","FFE-On-Location ""Location={-5499191.503627, -2251825.311346, 2309314.511859}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.39104607,-157.73719078,"UAV 2","1","1:3001:127","FRMORT001","1:1:71:10:1:0:1","0","false","false","false","false","0"
"ENCAESAR004","Move to {-5499444.816370, -2250654.663336, 2309957.213850}","-","2026-08-09T08:53:44.000Z",21.37005657,-157.73475759,"UAV 2","2","1:3001:142","ENCAESAR004","1:1:71:4:0:0:0","0","false","false","false","false","0"
"ENCAESAR003","FFE-On-Location ""Location={-5498511.672389, -2250935.799735, 2311770.746054}""  Name of Weapons to Fire: Indirect-Fire-Gun:M107-155mm. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.36993473,-157.73482081,"UAV 2","2","1:3001:228","ENCAESAR003","1:1:71:4:0:0:0","0","false","false","false","false","0"
"ENMORT001","FFE-On-Location ""Location={-5499123.141030, -2250320.406046, 2311025.754248}""  Name of Weapons to Fire: Indirect-Fire-Gun:m9333he. Number-Of-Rounds: 1. Height-Above-Terrain: 0","-","2026-08-09T08:53:44.000Z",21.37443553,-157.73716992,"UAV 2","2","1:3001:235","ENMORT001","1:1:71:10:1:0:1","0","false","false","false","false","0"
